
2024/10/28 (13:16:54) | ===> btop++ v.1.2.13
2024/10/28 (13:16:54) | INFO: Logger set to DEBUG
2024/10/28 (13:16:54) | DEBUG: Using locale en_US.UTF-8
2024/10/28 (13:16:54) | INFO: Running on /dev/pts/1
2024/10/28 (13:16:54) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/28 (13:16:54) | ===> btop++ v.1.2.13
2024/10/28 (13:16:54) | INFO: Logger set to DEBUG
2024/10/28 (13:16:54) | DEBUG: Using locale en_US.UTF-8
2024/10/28 (13:16:54) | INFO: Running on /dev/pts/2
2024/10/28 (13:16:54) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/28 (13:16:54) | ===> btop++ v.1.2.13
2024/10/28 (13:16:54) | INFO: Logger set to DEBUG
2024/10/28 (13:16:54) | DEBUG: Using locale en_US.UTF-8
2024/10/28 (13:16:54) | INFO: Running on /dev/pts/3
2024/10/28 (13:16:54) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/28 (13:16:54) | ===> btop++ v.1.2.13
2024/10/28 (13:16:54) | INFO: Logger set to DEBUG
2024/10/28 (13:16:54) | DEBUG: Using locale en_US.UTF-8
2024/10/28 (13:16:54) | INFO: Running on /dev/pts/4
2024/10/28 (13:16:54) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/28 (18:38:54) | ===> btop++ v.1.2.13
2024/10/28 (18:38:54) | INFO: Logger set to DEBUG
2024/10/28 (18:38:54) | DEBUG: Using locale en_US.UTF-8
2024/10/28 (18:38:54) | INFO: Running on /dev/pts/2
2024/10/28 (18:38:54) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/28 (18:44:35) | ===> btop++ v.1.2.13
2024/10/28 (18:44:35) | INFO: Logger set to DEBUG
2024/10/28 (18:44:35) | DEBUG: Using locale en_US.UTF-8
2024/10/28 (18:44:35) | INFO: Running on /dev/pts/2
2024/10/28 (18:44:35) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/28 (18:45:45) | ===> btop++ v.1.2.13
2024/10/28 (18:45:45) | INFO: Logger set to DEBUG
2024/10/28 (18:45:45) | DEBUG: Using locale en_US.UTF-8
2024/10/28 (18:45:45) | INFO: Running on /dev/pts/2
2024/10/28 (18:45:45) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/29 (21:27:38) | ===> btop++ v.1.2.13
2024/10/29 (21:27:38) | INFO: Logger set to DEBUG
2024/10/29 (21:27:38) | DEBUG: Using locale en_US.UTF-8
2024/10/29 (21:27:38) | INFO: Running on /dev/pts/0
2024/10/29 (21:27:38) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/29 (21:29:39) | ===> btop++ v.1.2.13
2024/10/29 (21:29:39) | INFO: Logger set to DEBUG
2024/10/29 (21:29:39) | DEBUG: Using locale en_US.UTF-8
2024/10/29 (21:29:39) | INFO: Running on /dev/pts/2
2024/10/29 (21:29:39) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/30 (18:49:01) | ===> btop++ v.1.2.13
2024/10/30 (18:49:01) | INFO: Logger set to DEBUG
2024/10/30 (18:49:01) | DEBUG: Using locale en_US.UTF-8
2024/10/30 (18:49:01) | INFO: Running on /dev/pts/2
2024/10/30 (18:49:01) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/11/01 (09:58:37) | ===> btop++ v.1.2.13
2024/11/01 (09:58:37) | INFO: Logger set to DEBUG
2024/11/01 (09:58:37) | DEBUG: Using locale en_US.UTF-8
2024/11/01 (09:58:37) | INFO: Running on /dev/pts/0
2024/11/01 (09:58:37) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/11/02 (02:57:21) | ===> btop++ v.1.2.13
2024/11/02 (02:57:21) | INFO: Logger set to DEBUG
2024/11/02 (02:57:21) | DEBUG: Using locale en_US.UTF-8
2024/11/02 (02:57:21) | INFO: Running on /dev/pts/4
2024/11/02 (02:57:21) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/11/02 (07:32:13) | ===> btop++ v.1.2.13
2024/11/02 (07:32:13) | INFO: Logger set to DEBUG
2024/11/02 (07:32:13) | DEBUG: Using locale en_US.UTF-8
2024/11/02 (07:32:13) | INFO: Running on /dev/pts/6
2024/11/02 (07:32:13) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/11/12 (22:24:24) | ===> btop++ v.1.2.13
2024/11/12 (22:24:24) | INFO: Logger set to DEBUG
2024/11/12 (22:24:24) | DEBUG: Using locale en_US.UTF-8
2024/11/12 (22:24:24) | INFO: Running on /dev/pts/4
2024/11/12 (22:24:24) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/11/12 (22:29:52) | ===> btop++ v.1.2.13
2024/11/12 (22:29:52) | INFO: Logger set to DEBUG
2024/11/12 (22:29:52) | DEBUG: Using locale en_US.UTF-8
2024/11/12 (22:29:52) | INFO: Running on /dev/pts/4
2024/11/12 (22:29:52) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/11/13 (21:55:05) | ===> btop++ v.1.2.13
2024/11/13 (21:55:05) | INFO: Logger set to DEBUG
2024/11/13 (21:55:05) | DEBUG: Using locale en_US.UTF-8
2024/11/13 (21:55:05) | INFO: Running on /dev/pts/4
2024/11/13 (21:55:05) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/11/14 (11:49:28) | ===> btop++ v.1.2.13
2024/11/14 (11:49:28) | INFO: Logger set to DEBUG
2024/11/14 (11:49:28) | DEBUG: Using locale en_US.UTF-8
2024/11/14 (11:49:28) | INFO: Running on /dev/pts/7
2024/11/14 (11:49:28) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/11/14 (17:45:08) | ===> btop++ v.1.2.13
2024/11/14 (17:45:08) | INFO: Logger set to DEBUG
2024/11/14 (17:45:08) | DEBUG: Using locale en_US.UTF-8
2024/11/14 (17:45:08) | INFO: Running on /dev/pts/7
2024/11/14 (17:45:08) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/11/14 (23:27:46) | ===> btop++ v.1.2.13
2024/11/14 (23:27:46) | INFO: Logger set to DEBUG
2024/11/14 (23:27:46) | DEBUG: Using locale en_US.UTF-8
2024/11/14 (23:27:46) | INFO: Running on /dev/pts/7
2024/11/14 (23:27:46) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/11/17 (23:20:38) | ===> btop++ v.1.2.13
2024/11/17 (23:20:38) | INFO: Logger set to DEBUG
2024/11/17 (23:20:38) | DEBUG: Using locale en_US.UTF-8
2024/11/17 (23:20:38) | INFO: Running on /dev/pts/6
2024/11/17 (23:20:38) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/11/17 (23:20:46) | ===> btop++ v.1.2.13
2024/11/17 (23:20:46) | INFO: Logger set to DEBUG
2024/11/17 (23:20:46) | DEBUG: Using locale en_US.UTF-8
2024/11/17 (23:20:46) | INFO: Running on /dev/pts/6
2024/11/17 (23:20:46) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/11/18 (00:37:37) | ===> btop++ v.1.2.13
2024/11/18 (00:37:37) | INFO: Logger set to DEBUG

